freq,gain,phase
0.998377799987793,-62.611552459454884,67.66447957111718
1.1175870895385742,-64.68330434610063,-79.38856076483751
1.2516975402832031,-60.78456865344596,-76.12748831593785
1.4156103134155273,-63.88995972682083,-136.64196671150466
1.5795230865478516,-77.5557824056869,176.93671268996084
1.773238182067871,-63.38835787423592,161.62335607078563
1.996755599975586,-69.84404041129537,29.45505546067844
2.2351741790771484,-60.580011436715665,69.5445346518592
2.518296241760254,-67.27839174034023,18.369278863859336
2.816319465637207,-64.28172155796885,137.60370024180244
3.159046173095703,-62.95246416341239,-10.50788289100764
3.546476364135742,-68.37106942489439,86.06762404455402
3.978610038757324,-73.25380221752076,173.11759493681464
4.470348358154297,-77.77012764923876,79.19510432219323
5.0067901611328125,-62.6392717866558,14.542140082107434
5.617737770080566,-68.01181534025604,34.74895450213148
6.303191184997559,-66.75783367994688,51.05407028272868
7.078051567077637,-62.966640079639305,163.42734733921756
7.942318916320801,-65.06758815059878,178.7100602104355
8.910894393920898,-66.04466639574477,175.8531503799187
9.998679161071777,-68.34031833755277,175.92825387237812
11.220574378967285,-62.0291945067586,-173.30698737890253
12.59148120880127,-59.282769673052805,167.74871585546458
14.126300811767578,-71.91408929701892,177.3668523325977
15.854835510253906,-60.47070618024666,140.55814009553023
17.777085304260254,-53.71180300048651,-163.4301711821955
19.95265483856201,-55.995496736181,169.5783607060664
22.38154411315918,-51.07179931983499,170.72005118977384
25.12335777282715,-51.24289816009924,168.45378452535002
28.178095817565918,-46.79939927312717,160.91107458834142
31.620264053344727,-49.068065238133116,170.87153278663806
35.47966480255127,-46.97268423272317,160.2695728345366
39.81590270996094,-43.879167278453,154.9455191682417
44.67368125915527,-41.279005662011826,153.8367719227176
50.11260509490967,-39.485553194883714,153.75322018590128
56.236982345581055,-37.3991158464759,153.844999090313
63.09151649475098,-35.740627855477534,151.34182500835703
70.79541683197021,-34.09777638588673,146.73764152180814
79.43809032440186,-32.24608804520984,142.4853454692288
89.12384510040283,-30.237440041909295,139.19941813992952
100.00169277191162,-28.300400649421267,136.0050459645223
112.20574378967285,-26.51251029429814,130.60995094485642
125.89991092681885,-25.04669718299542,125.32137657600718
141.24810695648193,-23.550177853437987,120.66285827647013
158.48875045776367,-22.08267077964029,114.71037872133394
177.83045768737793,-20.63959879207851,107.9481689392519
199.52654838562012,-19.27742550145736,101.35483810539893
223.8750457763672,-18.091417543073227,95.31946229924077
251.18887424468994,-16.87448150070102,88.32696491548941
281.84056282043457,-15.749947839288224,81.37210566070617
316.23244285583496,-14.814312864929997,73.72204228763009
354.81154918670654,-13.896592534163561,66.9945633105453
398.11432361602783,-13.097094976285724,59.06919819712256
446.67720794677734,-12.407902552978838,51.17823912355601
501.18565559387207,-11.735042019331118,42.80765854004207
562.3400211334229,-11.186486052926641,35.08398961025039
630.9598684310913,-10.795925729123168,26.813672759425348
707.9392671585083,-10.509838383086693,18.5436082665004
794.3212985992432,-10.281795588288638,9.667555525057656
891.2533521652222,-10.223988769941188,1.0356762823624497
1000.0020265579224,-10.226205696457145,-7.3603164242872205
1122.012734413147,-10.327742580777796,-15.756442628751874
1258.9246034622192,-10.664805087146473,-23.853713626328485
1412.5406742095947,-11.07604942770757,-32.53616724337644
1584.8875045776367,-11.685483190503998,-40.42893285642704
1778.2747745513916,-12.236495455174772,-48.64004901113885
1995.2654838562012,-12.990960109599605,-57.05805007376268
2238.720655441284,-13.734409721625093,-64.52951506503821
2511.8887424468994,-14.617491670571754,-72.32452255813497
2818.375825881958,-15.536852623190825,-78.6834714790952
3162.279725074768,-16.9262343665687,-85.95429135993847
3548.1303930282593,-17.885981043277184,-91.96758176918783
3981.068730354309,-18.79885953555289,-98.62490354973558
4466.831684112549,-20.405065089073332,-105.323038674266
5011.871457099915,-22.04395749869159,-109.92166389165038
5623.415112495422,-22.955268307594817,-114.5409737572025
6309.568881988525,-24.72647548959637,-125.57476928360475
7079.452276229858,-26.228752728604448,-125.31237328780541
7943.287491798401,-28.173324587805368,-123.54097403810185
8912.503719329834,-29.565629164801006,-134.90734808809728
10000.00536441803,-30.673423849256448,-134.59138794569867
11220.186948776245,-33.59549658620997,-141.5098626790084
12589.260935783386,-33.74548939913919,-149.72837603381993
14125.37693977356,-36.91416560503427,-145.92064268343978
15848.934650421143,-35.145789756969506,-158.1035047288991
17782.792448997498,-38.68143671555638,-139.09914562206322
19952.625036239624,-37.06754075975851,-144.915158196976
22387.20655441284,-36.56362698642045,-164.47891667194673
25118.857622146606,-40.46067128672843,-170.51838397814248
28183.83276462555,-42.72520175760302,-149.7328095660933
31622.782349586487,-47.10763672761711,-159.03386665598723
35481.33373260498,-45.9102449291741,173.12950443501396
39810.71710586548,-43.018951644717376,175.56386145958447
44668.36154460907,-51.09881267389543,-171.4876988008191
50118.72947216034,-43.588956241244084,-161.13708557698394
56234.13622379303,-45.59735551288404,107.02899639930268
63095.733523368835,-43.61553021588466,142.78240279180642
70794.58236694336,-51.29813843873337,96.3112538633544
79432.83021450043,-42.480920534199996,116.12994682347414
89125.09679794312,-46.7210065941437,125.20545225155686
99999.99403953552,-48.00749441186446,77.71409424956843
