t1,ch1,t1,ch2
0,3.3352318572998,0,-0.00468635559082
0.02,3.36022422790527,0.02,0.00531120300293
0.04,3.38021812438964,0.04,0.000312423706055
0.06,3.4152074432373,0.06,0.010309982299805
0.08,3.45019676208496,0.08,0.00531120300293
0.1,3.47518913269042,0.1,0.010309982299805
0.12,3.50018150329589,0.12,0.00531120300293
0.14,3.52017539978027,0.14,0.010309982299805
0.16,3.54516777038574,0.16,-0.00468635559082
0.18,3.5751586151123,0.18,0.00531120300293
0.2,3.60015098571777,0.2,0.010309982299805
0.22,3.63014183044433,0.22,0.010309982299805
0.24,3.6551342010498,0.24,0.010309982299805
0.26,3.67512809753417,0.26,0.01530876159668
0.28,3.69512199401855,0.28,0.000312423706055
0.3,3.72511283874511,0.3,0.010309982299805
0.32,3.74510673522949,0.32,0.00531120300293
0.34,3.75510368347167,0.34,0.00531120300293
0.36,3.79009300231933,0.36,0.00531120300293
0.38,3.80508842468261,0.38,0.010309982299805
0.4,3.8150853729248,0.4,0.00531120300293
0.42,3.83507926940917,0.42,0.01530876159668
0.44,3.85007469177246,0.44,0.00531120300293
0.46,3.88506401062011,0.46,0.01530876159668
0.48,3.8950609588623,0.48,0.010309982299805
0.5,3.91505485534667,0.5,0.000312423706055
0.52,3.93504875183105,0.52,0.01530876159668
0.54,3.94504570007324,0.54,0.010309982299805
0.56,3.95504264831542,0.56,-0.00468635559082
0.58,3.98003501892089,0.58,0.00531120300293
0.6,4.00002891540527,0.6,0.010309982299805
0.62,4.02002281188964,0.62,0.01530876159668
0.64,4.03001976013183,0.64,0.01530876159668
0.66,4.02502128601074,0.66,0.000312423706055
0.68,4.05001365661621,0.68,0.00531120300293
0.7,4.07500602722167,0.7,0.000312423706055
0.72,4.09000144958496,0.72,0.010309982299805
0.74,4.10499687194824,0.74,0.00531120300293
0.76,4.11499382019042,0.76,0.00531120300293
0.78,4.1349877166748,0.78,0.01530876159668
0.8,4.14998313903808,0.8,0.020307540893555
0.82,4.15498161315918,0.82,0.00531120300293
0.84,4.17997398376464,0.84,0.01530876159668
0.86,4.17997398376464,0.86,0.010309982299805
0.88,4.19496940612793,0.88,0.00531120300293
0.9,4.22496025085449,0.9,0.010309982299805
0.92,4.21996177673339,0.92,0.01530876159668
0.94,4.23995567321777,0.94,0.020307540893555
0.96,4.23995567321777,0.96,0.010309982299805
0.98,4.24995262145996,0.98,0.000312423706055
1,4.25495109558105,1,-0.009685134887695
1.02,4.27494499206542,1.02,0.010309982299805
1.04,4.28994041442871,1.04,0.010309982299805
1.06,4.29993736267089,1.06,0.010309982299805
1.08,4.31993125915527,1.08,0.01530876159668
1.1,4.31993125915527,1.1,0.01530876159668
1.12,4.31493278503418,1.12,-0.00468635559082
1.14,4.33992515563964,1.14,0.01530876159668
1.16,4.35492057800293,1.16,0.01530876159668
1.18,4.34992210388183,1.18,0.00531120300293
1.2,4.36991600036621,1.2,0.01530876159668
1.22,4.3749144744873,1.22,0.010309982299805
1.24,4.38491142272949,1.24,0.020307540893555
1.26,4.38990989685058,1.26,0.020307540893555
1.28,4.39990684509277,1.28,0.010309982299805
1.3,4.40990379333496,1.3,0.020307540893555
1.32,4.40990379333496,1.32,0.00531120300293
1.34,4.42989768981933,1.34,0.010309982299805
1.36,4.43989463806152,1.36,0.01530876159668
1.38,4.44489311218261,1.38,0.01530876159668
1.4,4.44989158630371,1.4,0.00531120300293
1.42,4.45988853454589,1.42,0.01530876159668
1.44,4.45988853454589,1.44,0.00531120300293
1.46,4.45988853454589,1.46,-0.00468635559082
1.48,4.48987937927246,1.48,0.010309982299805
1.5,4.48987937927246,1.5,0.00531120300293
1.52,4.49487785339355,1.52,0.010309982299805
1.54,4.51487174987793,1.54,0.020307540893555
1.56,4.50987327575683,1.56,0.010309982299805
1.58,4.51487174987793,1.58,0.01530876159668
1.6,4.52986717224121,1.6,0.020307540893555
1.62,4.54486259460449,1.62,0.020307540893555
1.64,4.54486259460449,1.64,0.020307540893555
1.66,4.54986106872558,1.66,0.020307540893555
1.68,4.54986106872558,1.68,0.01530876159668
1.7,4.54986106872558,1.7,0.00531120300293
1.72,4.56985496520996,1.72,0.020307540893555
1.74,4.57985191345214,1.74,0.01530876159668
1.76,4.57485343933105,1.76,0.010309982299805
1.78,4.57985191345214,1.78,0.00531120300293
1.8,4.58485038757324,1.8,0.01530876159668
1.82,4.58485038757324,1.82,0.010309982299805
1.84,4.59984580993652,1.84,0.01530876159668
1.86,4.58984886169433,1.86,0.010309982299805
1.88,4.60984275817871,1.88,0.020307540893555
1.9,4.59984580993652,1.9,-0.00468635559082
1.92,4.6148412322998,1.92,0.000312423706055
1.94,4.62483818054199,1.94,0.010309982299805
1.96,4.61983970642089,1.96,0.00531120300293
1.98,4.62983665466308,1.98,0.01530876159668
2,4.62483818054199,2,0.01530876159668
2.02,4.62983665466308,2.02,0.01530876159668
2.04,4.62983665466308,2.04,0.00531120300293
2.06,4.63983360290527,2.06,0.010309982299805
2.08,4.64983055114746,2.08,0.00531120300293
2.1,4.64983055114746,2.1,0.000312423706055
2.12,4.65982749938964,2.12,0.00531120300293
2.14,4.65982749938964,2.14,0.00531120300293
2.16,4.64983055114746,2.16,-0.009685134887695
2.18,4.66482597351074,2.18,0.00531120300293
2.2,4.66482597351074,2.2,0.010309982299805
2.22,4.67482292175293,2.22,0.00531120300293
2.24,4.66982444763183,2.24,0.00531120300293
2.26,4.68481986999511,2.26,0.000312423706055
2.28,4.68481986999511,2.28,0.01530876159668
2.3,4.69981529235839,2.3,0.00531120300293
2.32,4.69981529235839,2.32,0.01530876159668
2.34,4.69981529235839,2.34,0.00531120300293
2.36,4.70481376647949,2.36,0.030305099487305
2.38,4.70481376647949,2.38,0.010309982299805
2.4,4.70981224060058,2.4,0.020307540893555
2.42,4.71980918884277,2.42,0.00531120300293
2.44,4.70981224060058,2.44,0.01530876159668
2.46,4.71980918884277,2.46,0.010309982299805
2.48,4.71481071472167,2.48,0.000312423706055
2.5,4.72480766296386,2.5,0.010309982299805
2.52,4.72480766296386,2.52,0.01530876159668
2.54,4.72980613708496,2.54,0.010309982299805
2.56,4.72480766296386,2.56,0.010309982299805
2.58,4.73480461120605,2.58,0.010309982299805
2.6,4.72480766296386,2.6,0.000312423706055
2.62,4.72980613708496,2.62,0.00531120300293
2.64,4.73480461120605,2.64,0.010309982299805
2.66,4.73980308532714,2.66,0.00531120300293
2.68,4.73980308532714,2.68,0.010309982299805
2.7,4.73480461120605,2.7,0.000312423706055
2.72,4.74980003356933,2.72,0.01530876159668
2.74,4.73980308532714,2.74,0.01530876159668
2.76,4.74980003356933,2.76,0.010309982299805
2.78,4.75979698181152,2.78,0.01530876159668
2.8,4.75479850769042,2.8,0.010309982299805
2.82,4.75979698181152,2.82,-0.00468635559082
2.84,4.75479850769042,2.84,0.000312423706055
2.86,4.75479850769042,2.86,0.000312423706055
2.88,4.76479545593261,2.88,0.00531120300293
2.9,4.75979698181152,2.9,0.00531120300293
2.92,4.75979698181152,2.92,-0.00468635559082
2.94,4.76479545593261,2.94,0.00531120300293
2.96,4.76979393005371,2.96,0.00531120300293
2.98,4.76479545593261,2.98,0.000312423706055
3,4.76979393005371,3,0.00531120300293
3.02,4.76479545593261,3.02,0.00531120300293
3.04,4.7747924041748,3.04,0.010309982299805
3.06,4.76979393005371,3.06,0.00531120300293
3.08,4.77979087829589,3.08,0.00531120300293
3.1,4.77979087829589,3.1,0.010309982299805
3.12,4.7747924041748,3.12,0.000312423706055
3.14,4.77979087829589,3.14,0.01530876159668
3.16,4.78478935241699,3.16,0.01530876159668
3.18,4.78478935241699,3.18,0.010309982299805
3.2,4.78478935241699,3.2,0.01530876159668
3.22,4.77979087829589,3.22,0.00531120300293
3.24,4.78478935241699,3.24,0.00531120300293
3.26,4.78478935241699,3.26,0.01530876159668
3.28,4.78478935241699,3.28,0.00531120300293
3.3,4.78978782653808,3.3,0.000312423706055
3.32,4.78978782653808,3.32,0.01530876159668
3.34,4.79478630065917,3.34,0.00531120300293
3.36,4.78478935241699,3.36,0.00531120300293
3.38,4.80478324890136,3.38,0.01530876159668
3.4,4.78478935241699,3.4,-0.00468635559082
3.42,4.80978172302246,3.42,0.010309982299805
3.44,4.81478019714355,3.44,0.01530876159668
3.46,4.80478324890136,3.46,0.010309982299805
3.48,4.80478324890136,3.48,0.00531120300293
3.5,4.79478630065917,3.5,-0.00468635559082
3.52,4.80978172302246,3.52,0.01530876159668
3.54,4.80978172302246,3.54,0.01530876159668
3.56,4.80978172302246,3.56,0.01530876159668
